ID,name,genus,species,mass,TL,SL,BD,BW,CPW,muscleWhite,muscleRed,CoM,,mucusMass,caudalArea,analArea,dorsalArea,dorsalArea2,pelvicArea,bodyArea,pectArea,aluArea,barbArea,TotCaudalArea,TotAnalArea,TotDorsalArea,TotDorsalArea2,TotPelvicArea,TotPectArea,TotAlulArea,TotBodyArea,AllAluArea,AllBodArea,relMucusM,mucusProt,FStype,latency,s1Duration,s2Duration,distance,stimAngle,direction,turnAngle,turnRate,trajectory,turnRadius,Desc,relDesc,Umax,Amax,F_latency,F_s1Duration,F_s2Duration,F_distance,F_stimAngle,F_turnAngle,F_turnRate,F_trajectory,F_turnRadius,CHNmass,nitrogen,carbon,hydrogen,calories
MJ012,doli6,Siganus,doliatus,119.6,19,15.4,7.45,1.99,0.58,24.8,1,NA,NA,NA,14.702,13.964,22.279,NA,2.937,81.022,8.546,NA,0,29.404,27.928,44.558,0,11.748,34.184,NA,162.044,NA,309.866,NA,NA,D,0.04,0.03,0.03,22.22,78.07,1,45.5,1819.8,98.28,0.88,5.58,0.29,185.77,100.67,0.07,0.04,0.05,23.35,26.78,87.27,2094.48,131.96,0.85,NA,NA,NA,NA,NA
MJ013,cura3,Amblyglyphidodon,curacao,49.8,12.75,9.33,5.72,1.78,0.48,8.5,0.2,NA,NA,34.9,7.815,6.698,11.917,NA,2.387,36.906,6.65,49.428,0,15.63,13.396,23.834,0,9.548,26.6,98.856,73.812,187.864,162.82,0.185772687,93.25151816,S,0.08,0.02,0.03,31.68,64.84,1,41.99,2519.22,128.42,0.33,4.63,0.36,109.85,77.71,0.03,0.03,0.02,37.12,12.69,112.64,3861.87,106.79,0.54,4.23,6.214,26.713,4.457,3833.343
MJ014,mult2,Parupeneus,multifasciatus,127.6,20.6,17.1,5.18,2.65,0.87,24,0.3,NA,NA,123.8,14.279,6.199,6.931,6.719,6.364,61.799,7.995,81.898,2.972,28.558,12.398,13.862,13.438,25.456,31.98,163.796,123.598,292.46,252.262,0.423305751,200.4300601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.029,10.324,39.891,6.252,5836.431
MJ015,chry2,Sufflamen,chrysopterus,62.4,13.91,11.67,4.96,2.1,0.67,8.4,0.6,NA,NA,55.2,8.235,5.535,1.321,5.731,5.587,45.75,2.773,53.215,0,16.47,11.07,2.642,11.462,22.348,11.092,106.43,91.5,181.514,166.584,0.304108774,106.2977929,D,0.08,0.03,0.03,30.8,55.04,1,79.81,2394.24,126.11,0.74,5.5,0.4,185.44,66.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.961,6.499,28.049,4.817,4036.488
MJ016,cura2,Amblyglyphidodon,curacao,36.7,12.71,8.9,5.19,1.45,0.39,6.1,0.2,NA,NA,35,7.556,6.231,9.268,NA,2.688,33.013,4.724,37.406,0,15.112,12.462,18.536,0,10.752,18.896,74.812,66.026,150.57,141.784,0.232450023,131.0811593,S,0.08,0.02,0.03,25.66,56.52,1,57.96,2782.13,134.01,0.34,4.57,0.36,108.8,79.92,0.05,0.03,0.03,27.31,38.08,101.99,4079.48,142.51,0.49,2.322,6.433,27.904,4.56,4014.347
MJ017,chry1,Sufflamen,chrysopterus,71.3,14.13,11.87,5.41,2.11,0.67,9.2,1.3,NA,NA,46.7,8.182,5.823,1.569,6.706,5.837,50.253,2.534,58.458,0,16.364,11.646,3.138,13.412,23.348,10.136,116.916,100.506,194.96,178.55,0.239536315,150.7994684,D,0.08,0.02,0.02,36.38,74.2,1,27.52,1321.01,79.53,0.58,5.56,0.39,175.51,132.81,0.03,0.04,0.03,33.57,14.62,79.91,2130.91,102.46,0.31,1.992,8.164,36.071,5.85,5255.835
MJ018,mult3,Parupeneus,multifasciatus,140.9,23.2,18.3,5.14,2.81,0.78,28.7,0.4,NA,NA,254.6,16.47,7.146,7.705,7.026,7.314,66.974,8.344,88.716,2.796,32.94,14.292,15.41,14.052,29.256,33.376,177.432,133.948,319.554,276.07,0.79673545,237.1333951,D,0.03,0.03,0.03,15.77,76.96,1,78.81,2364.27,129.6,1.46,8.27,0.36,191.34,57.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.988,11.032,43.281,6.799,6351.777
MJ019,doli8,Siganus,doliatus,105.5,18.3,14.35,7.22,2,0.47,23.2,0.8,NA,NA,64.8,14.142,13.014,20.023,NA,2.276,72.965,8.244,81.074,0,28.284,26.028,40.046,0,9.104,32.976,162.148,145.93,298.586,282.368,0.217022901,167.3786885,D,0.02,0.02,0.02,14.33,104.43,1,28.75,1380.19,100.01,0.59,7.8,0.43,235.11,93.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.114,10.792,41.779,6.53,6123.356
MJ020,nigr2,Acanthurus,nigrofuscus,104.2,18,13.13,6.48,2.24,0.8,18.7,1.1,NA,NA,100.2,13.474,14.626,20.596,NA,1.758,63.256,8.029,73.86,0,26.948,29.252,41.192,0,7.032,32.116,147.72,126.512,284.26,263.052,0.352494195,186.0277007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,23.82,15.43,90.81,3632.24,110.52,0.83,3.17,9.009,37.111,5.763,5413.84
MJ021,cura5,Amblyglyphidodon,curacao,33.1,11.53,8.41,5.14,1.48,0.26,6.1,0.2,NA,NA,33.8,6.306,5.009,7.815,NA,1.95,31.397,3.834,35.533,0,12.612,10.018,15.63,0,7.8,15.336,71.066,62.794,132.462,124.19,0.25516752,115.2144527,D,0.03,0.02,0.02,22.78,60.63,1,61.5,3690.24,109.38,0.34,6.59,0.57,189.91,81.73,0.03,0.03,0.02,21.45,11.19,121.41,4856.36,105.95,0.54,2.134,6.768,29.53,4.767,4261.629
MJ022,doli9,Siganus,doliatus,131.3,19.5,16,7.89,2.09,0.42,30.1,0.8,7.5,0.384615385,NA,15.47,13.477,23.128,NA,3.483,88.437,9.073,NA,0,30.94,26.954,46.256,0,13.932,36.292,NA,176.874,NA,331.248,NA,NA,D,0.01,0.02,0.03,27.75,34.31,-1,38.23,1835.04,18.53,0.69,6.31,0.32,186.12,117.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJ023,bili2,Scolopsis,bilineatus,106.1,18.6,14.8,5.68,2.64,0.64,20.1,0.6,NA,NA,43.9,12.705,5.761,15.728,NA,4.277,58.094,9.16,77.836,0,25.41,11.522,31.456,0,17.108,36.64,155.672,116.188,277.808,238.324,0.158022807,136.1321616,D,0.05,0.03,0.03,22.74,70.8,1,90.58,3105.57,148.19,0.86,5.72,0.31,161.67,80.71,0.05,0.04,0.04,24.48,25.72,100.53,2680.69,145.87,1.01,1.972,6.729,28.22,4.611,4062.402
MJ024,cura4,Amblyglyphidodon,curacao,24.1,10,7.65,4.46,1.32,0.33,3.9,0.1,NA,NA,NA,6.106,4.636,6.502,NA,1.506,24.801,3.98,NA,0,12.212,9.272,13.004,0,6.024,15.92,NA,49.602,NA,106.034,NA,NA,D-,0.02,0.01,0.02,21.4,100.2,1,45.08,3606.72,131.84,0.4,4.15,0.42,107.16,74.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJ025,nigr3,Acanthurus,nigrofuscus,51.5,14.04,10.54,5.21,1.74,0.64,10.2,0.5,NA,NA,44.8,7.821,7.444,12.907,NA,1.617,38.249,4.587,46.093,0,15.642,14.888,25.814,0,6.468,18.348,92.186,76.498,173.346,157.658,0.258442652,166.6288199,D,0.01,0.03,0.02,23,82.24,1,92.71,3178.56,153.41,0.69,7.43,0.53,243.79,95.95,0.02,0.03,0.03,30.41,6.43,124.6,4272.1,107.05,0.58,2.151,7.995,33.395,5.29,4849.115
MJ026,bili1,Scolopsis,bilineatus,103.9,18.3,14.7,5.62,2.55,0.64,19.9,0.5,NA,NA,73.1,12.621,5.791,17.262,NA,4.049,57.463,9.478,77.415,0,25.242,11.582,34.524,0,16.196,37.912,154.83,114.926,280.286,240.382,0.260805035,160.3264042,D-,0.08,0.02,0.03,29.65,108.21,1,62.33,2991.79,165.42,0.68,4.74,0.26,117.68,69.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.325,8.874,36.269,5.663,5285.912
MJ027,chry3,Sufflamen,chrysopterus,87.2,15.21,12.41,5.88,2.33,0.61,14.7,0.7,NA,NA,59.9,10.477,6.799,1.411,7.729,4.603,53.335,2.917,65.712,0,20.954,13.598,2.822,15.458,18.412,11.668,131.424,106.67,214.336,189.582,0.279467752,152.3292443,D,0.02,0.04,0.03,19.96,91.51,1,84.09,2242.51,153.31,0.78,2.92,0.19,131.46,56.78,0.05,0.05,0.03,21.43,20.53,110.22,2404.87,93.27,0.72,3.681,8.174,34.84,5.5,5068.711
